Spanish,English
como,as
yo,I
su,his
que,that
él,he
era,was
en,on
son,are
con,with
ellos,they
ser,be
en,at
uno,one
tener,have
este,this
desde,from
por,by
caliente,hot
palabra,word
pero,but
qué,what
algunos,some
es,is
lo,it
usted,you
o,or
tenido,had
la,the
de,of
a,to
y,and
un,a
en,in
nos,we
lata,can
fuera,out
otros,other
eran,were
que,which
su,their
tiempo,time
si,if
lo hará,will
cómo,how
dicho,said
un,an
cada,each
decir,tell
hace,does
conjunto,set
tres,three
querer,want
aire,air
así,well
también,also
jugar,play
pequeño,small
fin,end
poner,put
casa,home
leer,read
mano,hand
puerto,port
grande,large
deletrear,spell
añadir,add
incluso,even
tierra,land
aquí,here
debe,must
grande,big
alto,high
tal,such
siga,follow
acto,act
por qué,why
preguntar,ask
hombres,men
cambio,change
se fue,went
luz,light
tipo,kind
necesitará,need
casa,house
imagen,picture
tratar,try
nosotros,us
de nuevo,again
animal,animal
punto,point
madre,mother
mundo,world
cerca,near
construir,build
auto,self
tierra,earth
padre,father
cualquier,any
nuevo,new
trabajo,work
parte,part
tomar,take
conseguir,get
lugar,place
hecho,made
vivir,live
donde,where
después,after
espalda,back
poco,little
sólo,only
ronda,round
hombre,man
años,year
vino,came
show,show
cada,every
buena,good
me,me
dar,give
nuestro,our
bajo,under
nombre,name
a través de,through
sólo,just
forma,form
gran,great
pensar,think
decir,say
bajo,low
línea,line
ser distinto,differ
"a su vez,",turn
causa,cause
mucho,much
antes,before
movimiento,move
derecho,right
niño,boy
viejo,old
demasiado,too
misma,same
ella,she
todo,all
hay,there
cuando,when
hasta,up
uso,use
su,your
camino,way
acerca,about
muchos,many
entonces,then
ellos,them
escribir,write
haría,would
como,like
así,so
éstos,these
su,her
largo,long
hacer,make
cosa,thing
ver,see
dos,two
tiene,has
buscar,look
más,more
día,day
podía,could
ir,go
hizo,did
número,number
sonar,sound
no,no
más,most
personas,people
mi,my
sobre,over
saber,know
agua,water
que,than
llamada,call
primero,first
que,who
puede,may
lado,side
estado,been
ahora,now
encontrar,find
cabeza,head
de pie,stand
propio,own
