Korean,English
것,thing
하다,do
있다,have
수,number
하다,do
나,me
없다,none
않다,not
사람,Person
우리,we
그,that
아니다,not
보다,see
거,thing
보다,see
같다,same
주다,give
대하다,treat
가다,go
년,year
한,one
말,word
일,Work
이,this
말하다,say
위하다,for
그러나,But
오다,come
알다,know
씨,Seed
그렇다,Yes
크다,Big
일,Work
사회,Social
많다,many
안,not
좋다,good night
더,more
받다,receive
그것,that
집,Home
나오다,come out
그리고,and
문제,Problem
그런,then
살다,live
저,I
못하다,Can not do it
생각하다,Think
모르다,I do not know
속,inside
만들다,to make
데,place
앞,front
중,middle
어떤,which
잘,well
그녀,she
먹다,To eat
자신,Myself
문화,culture
원,one
생각,think
어떻다,how
명,number of people
통하다,pass
그러다,Then
그러다,Then
소리,sound
다시,again
다른,Different
여자,Woman
개,dog
정도,degree
다,all
좀,A little
싶다,want
보이다,show
가지다,have
함께,together
지나다,pass by
많이,A lot of
시간,hour
너,you
인간,human
사실,actually
나다,It's me
이렇다,Like this
어머니,mother
눈,Eye
뭐,What
점,dot
의하다,be due to
시대,era
다음,next
이러하다,Do this
누구,who
곳,place
여러,Various
안,not
하나,one
세계,world
버리다,throw away
위,stomach
운동,Exercise
퍼센트,percent
학교,school
자기,self
가장,most
대통령,president
가지,Branch
시작하다,start
바로,Right away
어느,which
그래서,therefore
무엇,what
정부,goverment
모든,every
번,th
그거,it
돈,money
국가,country
그런데,By the way
날,me
여기,here
모두,all
여성,female
친구,friend
마음,mind
후,after
놓다,put
관계,relation
아버지,father
남자,man
어디,where
몸,body
얼굴,face
왜,why
나타나다,to appear
지역,region
다르다,different
모습,figure
물,water
만나다,meet
내다,Pay
보이다,show
쓰다,write
이것,this
없이,without
이번,this time
길,road
생활,life
쓰다,write
뿐,only
사이,between
방법,Way
새롭다,new
내다,Pay
앉다,Sit
처음,first
손,hand
몇,some
그때,at that time
과정,process
삶,Life
갖다,have
찾다,find
특히,Especially
시,city
이상,More than
지금,now
나가다,go out
이야기,story
교육,education
사다,buy
경제,economy
아직,yet
잡다,Catch
같이,together
선생님,Teacher
예술,art
서다,stand
못,pond
역사,history
읽다,To read
내용,Contents
물론,of course
책,book
일어나다,Rise
당신,you
시장,market
넣다,put in
중요하다,It is important
무슨,what
느끼다,feel
어렵다,difficult
힘,strength
너무,Too
나라,country
부르다,calling
의미,meaning
자리,Seat
밝히다,clarify
죽다,die
이미,already
쪽,side
정치,politics
국민,nation
생명,life
얘기,story
학생,student
연구,Research
엄마,Mom
이름,name
하나,one
내리다,get off
사건,Incident
및,and
쉽다,easy
짓다,build
이유,reason
필요하다,need
글,writing
생기다,to happen
사용하다,use
남편,husband
밖,Outside
세상,world
작다,small
타다,ride
대학,university
작품,Work
상황,situation
가운데,middle
보내다,send
즉,In other words
상태,situation
이후,after
당시,at that time
문학,literature
더욱,More
아주,very
지방,Fat
밤,night
높다,high
최근,recent
채,stick
현실,reality
환경,Environment
컴퓨터,computer
먼저,first
다니다,to go
얼마나,how much
자체,itself
열다,open
머리,head
묻다,to ask
남다,left
부분,part
기업,Enterprise
변화,change
아들,son
아,ah
선거,election
관하다,Tear
분,minute
그냥,just
나누다,divide
이용하다,use
거의,almost
곧,soon
중심,center
활동,activity
오늘,today
서로,each other
관심,Attention
역시,Also
이거,this
애,baby
광고,advertisement
나다,It's me
방,room
정신,mental
이르다,early
이루다,accomplished
아침,morning
웃다,laugh
현상,phenomenon
기술,technology
전체,all
그래,okay
얻다,get
아름답다,beautiful
끝,End
민족,people
간,liver
조사,inspection
듯,As if
입,mouth
뭐,What
그대로,as it is
영화,movie
필요,need
줄,line
하늘,sky
년대,In the year
과학,science
자연,nature
정말,really
구조,rescue
결국,finally
밥,rice
입다,put on
오히려,rather
프로그램,program
네,yes
이루어지다,come true
남,other
하루,day
그림,painting
적,enemy
터,place
마시다,drink
치다,hit
혼자,alone
나가다,go out
이제,now
교수,professor
술,alcohol
사랑,love
전화,telephone
끝나다,end
맞다,right
아빠,Dad
걸리다,hang
지키다,protect
한번,once
커피,coffee
가슴,chest
길다,long
바라보다,Look at
알아보다,Inquire
맛,taste
대부분,most
산업,industry
매우,very
오르다,climb
음식,food
표정,expression
꼭,please
일부,part
요즘,Nowadays
계획,plan
느낌,feeling
얼마,how much
고개,head
성격,Character
계속,continue
세기,century
세우다,set up
아내,wife
가족,family
현재,today
세,count
발전,Development
차,car
놀다,play
향하다,lean towards
관련,related
형태,shape
각,each
도시,city
작업,work
분위기,atmosphere
그러하다,It is true
나이,age
우선,priority
믿다,trust
바꾸다,change
낳다,give birth
바,bar
정보,Information
열리다,open
좋아하다,like
그리다,draw
만큼,as much as
배우다,learn
시,city
역할,role
옆,side
행동,behavior
어,uh
국내,domestic
비하다,Compare
기관,Agency
입장,Entrance
만하다,be worth
예,Yes
아래,under
방식,method
영향,effect
그럼,then
나서다,launch
흐르다,flow
저,I
깊다,deep
배,ship
내,my
모양,shape
산,mountain
새,bird
하지만,However
조건,Condition
문,door
꽃,Flower
단계,step
올리다,raise
그동안,Meantime
교사,teacher
갑자기,suddenly
넘다,exceed
지니다,carry
바람,wind
잘하다,Do well
마을,Town
어리다,young
대표,representative
가능성,Possibility
방향,direction
대회,Competition
목소리,voice
노래,Song
바다,ocean
힘들다,it's tough
공부,study
움직이다,Move
의원,lawmaker
노력,effort
전혀,Not at all
언니,sister
단체,group
분,minute
알려지다,known
가능하다,It is possible
능력,ability
주장하다,Claim
자식,child
불,fire
주민,citizen
모으다,gather
자료,data
존재,existence
학년,grade
신문,newspaper
가지다,have
이해하다,Understand
제품,product
분야,Field
선생,teacher
사업,business
행위,Act
수준,level
지난해,Last year
표현,expression
기분,mood
대,big
젊다,young
옷,dress
기능,function
순간,Moment
전쟁,War
전,I'm
꿈,dream
할머니,grandmother
회의,meeting
방송,broadcast
이야기하다,Talk
나무,tree
자다,sleep
연극,theater
마찬가지,same here
걷다,To Walk
노동,labor
이때,At this time
과거,past
가치,value
시간,hour
현대,hyundai
살펴보다,Look at
장관,Minister
차이,difference
풀다,solve
시절,days
물건,thing
직접,directly
